CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36
-35.0636304411375,20.1545161460382,-21.9244063043336,27.144404954635,-12.8302183072408,26.608075815056,4.71237099305455,29.9494775872617,-221.081614060963,-89.8188319876051,-106.928719477067,-4.94714788896374,195.771875094668,202.705090823809,277.003823061602,280.470570225627,-14.4702314239555,54.0883726278257,-44.6057271316346,6.4334170241801,-336.317190596054,-95.748920067491,-280.393015577996,-45.5669575196001,-297.906818995549,-38.4444092003429,-215.552924623143,1.30396791815278,9345.95907158821,3800.95886268227,78.1071504581776,593.047094214482,-82.9355882566487,33.2630564999681,-66.8191380062304,21.1684212711879
-30.4033631549831,12.1261050479947,-16.4762443411539,17.9146851946917,-7.42005124783224,17.4338643543865,-16.7940248768283,53.9082826320066,-215.476695389111,-85.9291190609745,-105.997627277871,-5.59903114422926,193.652156657827,201.243830366662,270.759065997267,273.725811770567,-13.8891907831995,53.4163546022358,-45.5458797001221,13.5195155063611,-339.782167961467,-75.367739611069,-276.886958324362,-51.843827489354,-294.457111838758,-44.6711821528377,-217.056913891758,-9.29938133727544,9017.96123572541,3682.08973988282,69.051780151346,588.569236911144,-92.2598097737326,30.2837882219223,-76.3749154950803,20.8584732356693
-29.7168343834341,-0.643697559282244,-14.1732266366631,2.72970182557884,-5.21828483930606,2.36932792431047,-12.2191346730653,44.9815643291669,-209.767878548932,-82.6557118958908,-108.566080318117,-3.23526745289695,188.543377441552,196.64420214978,259.713678157111,263.920605268511,-14.1394550384169,52.3687520928532,-40.4300793825807,3.71034836188948,-324.853619376502,-106.467510816718,-281.444640229726,-47.2368595354669,-299.081789441114,-40.055614393785,-234.451046857807,0.666215811979056,8884.67081424888,3704.95037538783,57.3748236746907,575.418895708143,-104.964892867368,20.4112494525409,-89.3845485328079,15.3864854264014
-44.7701939678426,14.5513935205853,-30.3811495784006,19.7310282009642,-21.3921221413569,19.2953956661242,-11.4368996219027,31.4735781473695,-194.952678017008,-75.3280865107532,-104.00672188097,-5.7108864970969,165.796716600487,178.341979023837,237.107723157611,243.595435043852,-15.8282237446041,57.3063249700523,-36.2715421694666,8.98516334861743,-308.941422425689,-88.560966271359,-266.198697985784,-51.3036209183273,-283.163907070403,-44.3865523232528,-192.277354342596,-34.1256437121595,7907.28022816776,3332.66331381193,65.2940437695108,571.455429083931,-97.5417380064521,17.331289096927,-81.970511419225,11.2091835296525
-20.2635133493723,14.8593878217148,-7.23800001973132,21.9363661460958,1.9022919155407,21.3805836332614,-2.22854269145994,55.4135535471309,-155.249294059444,-62.3333971529637,-78.1514857482723,0.736136346708569,142.947737279684,157.577532238256,215.114629594595,220.881589729203,-6.65244312123682,62.4288793486189,-28.8194489201631,19.9142991910414,-294.008458372012,-52.5920335044206,-237.609730483925,-40.4827190602401,-252.586696384893,-34.4438351965545,-205.67530062069,-3.54989693505275,-378.961648608993,255.57379928421,-197.374166062587,108.617292306514,-97.216259396753,10.2213772956133,-88.4157777653246,15.3486051315231
-3.11107748693982,3.74670655344966,10.4269906740492,9.96344200830645,19.5796366917963,9.43332720496757,16.5543400824024,40.8022153166489,-126.76464624278,-52.7156077747044,-61.5453437669349,-0.35734297377698,124.957339113092,135.699818646249,197.120128095181,202.506000819729,-3.76134933557986,64.0593641347072,-20.0698686116076,12.1556544384826,-277.870367273274,-56.7183892771866,-229.730901759717,-32.8945862428528,-243.978095589109,-27.1933039367388,-210.400551101949,8.05120576495798,-775.632414359184,5.75755903835023,-291.942822436589,-59.9877888090174,-110.034961413076,0.033454221136294,-105.045195995328,14.9927524597408
-16.8180998247646,28.8819431717789,-5.7944685785743,38.9259592372681,3.48249162952603,38.2178369081223,15.3760056740522,34.8113280121012,-100.029773651221,-40.7310453356055,-52.6061072524117,-1.91336076196983,85.5217565877512,105.447554461656,160.904147327943,167.673896777356,-3.12231258160431,60.5712844972386,-25.845092861547,16.5338754870341,-254.324261686167,-35.8774809858322,-206.069519179329,-34.3825389617872,-219.083454352297,-29.1913509263082,-200.407330774529,6.27206860848295,-726.911680383161,-50.6480575932448,-279.117373200509,-92.0757841888094,-127.510521138832,-5.48767201684726,-123.519343147616,15.3301587253444
-7.02857132603028,20.1586092604201,4.59590020685421,29.2517456166683,13.8602563474287,28.5813419800074,10.5870862644068,44.7708737570765,-84.6487859303773,-33.4817256007156,-58.1905765257922,4.09253791265521,70.5469316127431,93.7971864703935,142.853719295719,149.543907165317,-5.92792319488762,56.3454923803443,-26.1904765894623,18.0664652503056,-240.278805689749,-37.1777463051853,-200.659678964012,-30.4464233499701,-213.222829694869,-25.4606023235048,-207.670516545657,8.21527027345167,-872.511280581447,105.740381378355,-355.859910519911,-16.6224874064866,-141.042850541565,-12.9450563088203,-138.899744218004,14.4813184799626
-13.4679792089259,21.6786642600999,-1.69253684390027,30.5825045625728,7.54528931845137,29.9281594339693,19.1478111220724,24.5136493864062,-78.649670900965,-32.1294350310537,-56.7326821012738,0.940026906247261,66.1672605299433,87.6512049525709,131.144402689913,139.303247776695,-11.053650707878,58.4129777686793,-29.9242451177713,18.8330874665209,-241.659636856728,-4.41314167177673,-192.600398492693,-28.1157830830134,-204.631475354335,-23.3625869335643,-191.290762245975,-14.1959117218052,-838.576859701777,233.830283213034,-365.084965230393,53.2413495087467,-151.673276515733,-14.3321064557937,-148.259322136944,13.5188969177502
-28.0583065935618,23.1797516542068,-15.6891918489974,31.2793632425754,-6.52751714768797,30.6802297225033,4.99979220707569,45.2782201610471,-75.7153466036814,-27.901047675308,-58.5186814265332,4.94775165653343,55.4772627982201,82.4230060788023,113.78312528397,125.427444109536,-12.5408424095181,55.0416016834098,-35.4076990787154,22.0352647871035,-231.371207022748,7.00591779757126,-189.177014485145,-17.078107603581,-200.58542445245,-12.632232020581,-200.543221973926,-0.836246312535936,-203.727314596562,357.158240603458,-214.097813669363,148.051880278755,-164.441099235519,-14.6547394710345,-157.818806398666,10.9518957532793
