CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36
222.934849,93.80345528,31.37890958,34.59092971,143.5045344,104.8668224,-141.8724076,-134.421211,-19.10342024,-34.42414969,-65.51805225,-77.33433318,-37.30309886,-67.82878697,-161.204576,-89.07192542,-147.1243904,-27.12613172,-156.7823016,-191.695543,-238.4984095,64.88949512,-13.95368149,11.19496818,74.14518628,47.78841804,8.417259553,18.40737531,27.15631044,-3.742227737,83.35167611,17.38870254,17.97329475,6.688078174,-0.011356687,-16.27023175
231.7553546,103.160113,11.22413932,52.69231099,136.4467408,101.9869372,-160.9280745,-133.9124603,-24.16219602,-39.15547414,-68.23876985,-88.16577061,-42.1980685,-74.52112397,-164.4655427,-92.33946897,-149.9561085,-28.07401479,-150.0224027,-192.5760195,-213.3188686,11.80476509,3.345980157,-12.78841479,-98.0964355,266.7536895,-51.29986077,62.31127137,21.96962263,-5.698353941,78.43111301,23.11184166,22.81441776,7.582734862,1.614026352,-11.92058943
255.9178996,86.10359492,31.04078255,47.50171843,145.0663414,104.802092,-146.0900859,-123.6464077,-19.09214952,-33.66914714,-59.69306679,-78.68162338,-33.50657483,-71.12543403,-152.0993197,-83.03002648,-132.3564523,-21.96002578,-139.9791405,-173.3292017,-204.0982383,43.2900187,-14.60489678,20.54456257,78.80945029,12.13328797,26.62040789,-42.94470694,69.71288755,0.203133196,118.3844792,31.36661899,51.45024705,8.914778292,25.72692026,-9.464353229
252.6363652,92.8126668,38.91221594,52.94067008,137.8749584,102.4552882,-134.315271,-121.8661483,-18.91346322,-33.94630261,-62.34765686,-77.21936379,-24.79666519,-67.63995646,-148.0406592,-80.82567877,-143.2153677,-21.52980597,-137.7215501,-175.6839331,-183.9186231,12.41484694,-18.38608076,29.62498167,150.3409964,-75.86345986,25.64950864,-14.55766435,72.13984428,-0.114803412,105.988366,28.54403437,52.01199195,7.957385221,27.07603654,-7.098371185
257.859184,92.48781745,48.05605271,43.15056468,141.0180507,99.05424643,-110.5967192,-107.0058836,-13.23458978,-30.16318306,-41.4960964,-64.98481916,-23.50021271,-48.53361171,-129.6156593,-67.04678398,-118.0745622,-23.39179265,-114.6422008,-144.3530709,-203.1056604,85.51163136,-0.827309478,11.30181601,29.61977338,117.9856264,12.03381541,-3.209635336,68.94507783,-2.082626026,99.24011814,24.80163125,53.82142656,9.182328732,27.27784854,-8.03388654
251.1002231,90.20465706,60.84657577,48.06407898,120.9070668,96.46372912,-74.25813928,-87.32233563,-2.54386199,-21.52467108,-22.04798603,-48.16849128,-7.618593069,-43.28175831,-111.4071751,-51.44312424,-85.88014605,-22.47689426,-87.08830822,-117.3250394,-146.5735689,92.82669173,-2.387601989,18.8062018,140.9117295,-46.87239594,1.486602528,-37.84883867,55.90119119,-5.32560565,95.83951872,21.25891491,47.82988951,10.43082289,20.67232815,-4.995668372
231.7262812,87.15294301,60.52877286,53.21911182,112.2843436,90.48703088,-53.02148173,-69.56185321,3.392685313,-14.51882222,-13.75451327,-33.04605635,7.712648775,-37.90519033,-101.9562645,-38.55562481,-73.18833776,-10.99683399,-75.07384085,-96.86663049,-94.81088204,58.23381676,4.93195486,25.6510484,35.02988837,70.42683464,-39.317413,-1.793603777,39.94655154,-8.169803521,91.93405497,24.3566043,38.10494854,11.03996127,14.56185842,-2.71639918
225.8581599,77.37559024,65.920915,61.97933416,140.1514562,52.7453084,-41.31351777,-68.99300031,5.888161949,-13.33438329,-10.38739896,-34.85980361,4.590310703,-33.64836126,-101.4097821,-37.75831843,-71.07539974,-15.1258737,-73.87155693,-97.73275284,-137.4717166,120.7504559,16.50956808,-1.430518827,146.5566507,8.391844589,26.94334418,-55.72998083,22.42913962,-9.234650356,77.67178287,28.93247071,26.79879292,10.82059186,9.564511248,-0.706358542
216.7904599,81.31924161,71.93006261,34.21170689,105.6385033,90.58453052,-48.46702382,-75.40296334,-0.104684361,-18.09220581,-13.02452375,-38.30835257,1.543231073,-32.92314773,-102.5140578,-38.17184157,-78.33733412,-12.72235495,-69.05316329,-102.3242866,-130.1813051,76.29850521,10.48131888,-5.684730456,33.74973023,179.6114162,-19.2723118,9.548440144,11.19440543,-12.00612438,74.22598615,30.09868189,24.61383829,11.70060107,7.665187767,0.812619208
217.6832745,77.24847544,55.6360789,63.06795222,124.6969202,65.70446041,-23.84438099,-74.92212197,4.776000306,-14.44743206,-4.469647487,-37.36167476,12.03134407,-33.82378696,-92.91202536,-30.90207669,-75.1906912,-0.52000437,-62.7671114,-86.92404334,-105.1494815,99.45176988,11.65848681,5.460460288,-29.36605313,214.0490289,-20.87525552,6.661398638,66.46874534,-3.234508265,112.1151299,35.57229677,61.38786363,14.02497558,34.85896734,5.853777307
235.1398674,88.69777169,84.97973439,49.49563347,122.6257693,82.83987726,-26.2625904,-64.89817714,4.704130925,-16.36341757,-11.13476248,-32.32882608,10.31735859,-35.00680883,-86.19271711,-29.07320864,-60.78238348,-3.03744139,-49.5593486,-78.21334974,-91.91796281,103.1761629,7.270278613,23.65707972,-5.467940155,116.9809764,-31.39287415,-20.17637575,75.89095698,-2.469304721,115.7728111,32.819596,68.05774714,15.39542067,37.01030589,7.436605658
217.8528101,83.22066764,70.53749755,72.17062684,127.4629917,62.13591958,-0.338503353,-56.86013484,10.41625119,-10.89224862,2.354228369,-20.3779609,16.91305458,-24.11342678,-71.81298604,-20.20336361,-49.89092872,11.21119986,-38.70299791,-52.76109431,-36.53799429,104.3431246,24.93477862,-1.054868606,118.1219757,8.497856854,-5.350734985,-5.894370811,72.42481553,-1.954833669,105.0400723,37.18466138,68.67895481,16.43145621,37.88067697,6.168222984
223.7312222,82.30477741,79.31371956,77.54555924,128.2575149,55.46877878,7.572755722,-53.44903138,12.95321827,-10.28333161,9.773529478,-23.44655168,18.42813056,-25.60959072,-71.04656205,-19.54727849,-32.47621553,-17.00886872,-42.44434785,-55.39658095,-84.11434578,100.7793554,19.34298489,5.069960161,67.18990826,53.78009798,-29.21488689,-1.969413972,60.75168891,-3.05407918,99.77578763,35.1891024,59.50393667,16.49121121,29.24746157,9.963159201
210.4593878,77.71475638,85.75136608,60.65742183,134.2201474,49.10462262,24.24051447,-48.51360767,17.23717644,-5.973933061,25.2631982,-10.20064383,30.18619302,-16.91227099,-55.45835556,-5.762206975,-20.72996041,-1.545938119,-15.43301941,-23.21602814,-20.55678487,135.7829123,8.977427869,26.13997589,189.14304,-10.86775403,5.705215595,-62.47259922,45.41965254,-7.078272029,89.4529729,38.93041086,52.45391933,17.7910003,25.5424171,11.90216296
196.4323961,68.92441994,85.50550073,63.15763998,118.5969759,45.48724302,38.43930421,-33.50458792,22.70361709,-1.283166746,32.0323833,0.813265678,35.16876471,-8.695375322,-55.22420797,-5.586190414,-25.98517969,16.64966677,-18.04925599,-25.08863337,-20.40413579,103.7551951,18.65463191,7.67474887,164.621036,-20.73156686,-13.99730172,-39.85624713,29.09503466,-9.197614632,85.20771508,36.77963689,40.18372432,18.09839074,19.68449239,15.50087831
181.9691809,70.95581366,95.22821017,57.89578734,90.54497226,64.61030621,58.30061095,-20.34671885,27.71258192,5.1850647,47.50507696,8.79615219,48.3525122,-10.24007949,-50.10297867,0.652090674,-17.73246543,16.41790898,-12.96521171,-27.67213106,-59.8572912,152.6929168,19.61567263,7.371847185,51.17570846,139.4631214,-55.38908395,11.87851469,12.43773962,-11.42151315,71.63017251,39.51392675,28.66653497,18.65177046,14.58947803,17.22834825
169.2820272,71.21904498,76.34378118,68.20108897,108.7372688,38.29391803,48.15379433,-29.61038337,22.12515338,-0.061301429,37.33132216,6.532704479,41.54482053,-15.85035297,-55.21473096,-5.223983566,-29.04904891,5.727677449,-3.46843008,-34.17194023,-32.60569376,125.4077793,30.40982001,-1.631308309,108.5869733,48.67518807,-34.81473949,11.87660034,35.43040629,-5.745260653,84.26310617,44.1854713,52.36203061,20.77763197,30.19009127,21.19909179
201.4221835,64.98423267,102.1980689,48.10539461,107.5324517,58.39478791,57.98204092,-29.60916161,24.07778186,-0.017763755,37.07845402,7.52020203,37.89641724,-13.83468942,-51.53194567,-2.294153971,-34.84449256,18.09826437,-22.76859142,-19.19422046,-88.92968435,169.0139603,0.722943674,42.83921607,11.33805619,139.021562,-1.96369961,-19.90890616,67.21278493,-2.573405844,104.3690908,49.6514677,71.78766908,23.13992964,43.66139303,24.40036047
201.2561942,62.49052026,111.411616,39.93033881,98.72379673,69.23673548,54.31109204,-22.70134514,24.01954499,0.222945752,40.29424112,11.23115126,47.81835829,-14.45962693,-48.17074046,-1.111235794,-24.64881518,7.3459638,0.537653953,-32.57649863,-41.48747242,108.0068216,27.45556077,13.75860468,139.2164344,-12.86547606,-12.03985433,1.630003258,66.97323983,-2.270427998,101.988705,46.97187513,71.9159468,23.85442068,42.50394446,26.35653246
200.7125362,54.84237219,91.60384684,55.08155947,100.2798854,55.68485149,53.07265776,-16.53387356,25.07782999,-0.388352561,41.21481496,7.712873422,36.55584459,-8.068206074,-53.91667519,-5.711024627,-30.3149764,2.645621824,-22.44843539,-38.67384785,-90.28813698,149.6975146,26.34001603,2.093472034,3.966653359,140.717872,-24.67546196,28.80423383,61.56558635,-2.415102309,94.29152984,43.71509574,66.70695586,23.90337364,39.665727,26.1510652
184.1504581,63.89128186,84.64192073,57.72738929,94.66478567,64.53347932,51.29131059,-16.66301826,21.99808697,-3.678916436,38.39246204,5.346090845,28.69307335,-5.350123041,-55.98585356,-6.721772321,-36.88313426,-4.020188296,-26.41733776,-30.56707433,-101.7501087,164.2136613,23.40059144,16.32093068,100.6349487,101.7556753,26.87718183,-33.57179099,47.28685624,-3.383420027,82.34674264,49.00237312,56.77842972,23.39811241,34.7255656,27.5289257
176.7475828,59.67740688,89.19119813,54.86176786,96.60117955,59.34046721,68.30763697,-11.69269095,25.22395456,1.50982431,44.21612564,16.30559737,40.23998898,-7.04919372,-47.04121165,1.790874833,-35.93583358,9.291818588,-29.74369332,-21.20084067,-59.59949916,145.4114159,23.06391915,-2.602323682,107.4316205,72.82427944,-7.488526147,14.6881737,32.30619355,-5.492137151,73.83204351,45.04850011,43.38069895,23.27368812,26.26899495,30.21939404
171.2014729,55.91907661,82.33013968,55.53266901,87.95775235,53.78578261,57.5920516,-6.660632966,24.10171919,0.583533778,42.75475406,15.18061225,43.41493373,-10.46025646,-45.35712145,1.434066265,-37.93206287,9.709377042,-27.70000813,-22.95909144,-48.08956499,98.22136097,19.81000707,10.5943691,166.8452747,-20.95132678,38.46586131,-71.79078586,14.86289422,-7.122148916,67.45671376,45.42753243,31.52044815,23.750743,23.23419408,30.87637196
165.0012936,47.54208991,86.95815637,49.79513233,86.47284103,34.30860247,65.93184407,0.599913612,26.1137754,1.937620479,51.3987881,21.29290561,41.58348114,-0.494916913,-41.3496243,6.543163641,-31.64402813,11.01395311,-11.00571186,-28.90443871,-17.62617301,81.25450183,10.36326698,23.91785619,102.6781944,41.45769701,-5.127203652,-32.5659936,-1.250082097,-9.019883108,49.74536416,51.42491122,19.33293431,23.72235525,13.92223145,34.34686877
151.2565698,54.37870588,102.6459536,36.29932086,81.35914471,45.49630863,72.58682827,-3.223337096,27.32585452,3.838897421,54.03473011,19.20522905,45.76773142,-4.266308839,-40.28337853,6.709640157,-14.17539164,0.114253261,-15.97083306,-18.26825217,-1.704375924,77.12609454,20.28712368,7.362205363,162.0574308,1.112427886,12.89503526,-35.47191588,52.03695588,-1.193481226,91.49043081,52.92546685,60.0445623,27.13260495,40.73140795,35.57701251
164.7293673,57.9694739,98.56565,47.27543889,93.75744031,44.8701177,68.03958525,-4.884274868,27.85055075,3.053056912,47.72951867,19.55735554,34.04428305,0.171069274,-41.51488437,6.970226313,-10.89515819,-8.438251821,0.020596693,-31.72339562,3.728266579,33.07890559,42.53823531,-13.29002319,32.51586672,176.9337017,-25.05889159,4.356856288,63.33449528,0.554489525,95.68635744,60.58049514,66.59708116,28.25683106,42.83953911,37.85358273
161.1291761,63.86015818,80.25895073,69.90440688,90.75565109,42.16682925,65.92452407,4.592374116,28.31966562,4.134412056,53.68170337,19.85345272,40.99417734,-3.851022103,-40.23561713,7.459949006,-18.6020331,0.256598339,-20.02399523,-12.93253552,-19.90187802,105.2861128,11.65052783,23.18995781,142.6538264,59.84036922,-7.72470171,-15.72854889,59.35076537,0.841412164,93.86944576,57.63415188,63.06482452,28.54408577,40.23117865,38.00607548
162.6111687,49.35985235,97.97097623,43.69788078,81.77205591,55.194023,70.63431424,3.904703095,30.12690569,4.134645575,54.11588018,21.34911206,46.94294873,-3.497352602,-39.32572059,7.645489036,-22.98709369,7.478787422,-9.775594357,-21.31237854,-37.73336385,89.00251596,17.01129873,7.194991374,119.0016599,33.50481513,20.84391765,-47.44150137,49.22337001,-0.344447153,83.03811955,60.49670192,54.89729188,28.30313762,35.21594219,37.75679597
171.3853286,43.96226811,105.3758399,30.47780853,104.5810777,20.24843545,65.83581436,0.010475144,26.69312016,3.222958897,48.6033242,21.32379275,42.84464949,-7.769185755,-42.45389654,4.161443441,-39.02668277,22.25676784,0.717277488,-36.94998972,-4.269221004,56.86597298,35.69291655,-0.207651223,56.3977907,76.23448505,-2.47732844,-21.40806401,34.15597909,-1.918019571,74.13421433,59.32491369,42.07845354,27.60722408,25.64214505,41.34949003
163.6698349,44.59223319,93.53466985,46.6954374,83.35292637,37.03076698,70.51103619,0.26303131,26.85048132,3.142993233,51.93621438,20.59842538,50.1435256,-7.597720323,-39.5848606,6.496674013,-28.05362446,7.039070532,-2.189140748,-30.99872617,-40.0809023,75.96926495,53.49295098,-39.9965603,131.1514847,28.49415283,55.83574942,-109.4363403,18.00098804,-3.76487463,66.72837819,59.73713989,29.19989394,28.05380164,19.49781333,42.97746886
153.4952433,44.60103603,82.11113214,56.3379814,82.04509525,39.84714442,69.79842351,-2.900319938,25.40788315,1.926163411,51.70683338,18.46707435,39.28143629,-6.971261479,-41.51072103,3.70568127,-24.48210128,-1.722027614,-14.38454957,-30.49738947,-103.4148065,145.8366737,20.22725428,5.623748147,85.91885874,27.62703005,-13.8358713,-8.17709994,2.224600911,-5.291776856,54.34759222,62.29134347,17.48116322,27.44903912,13.11288627,45.86862605
