CH1,CH2,CH27,CH28
38.44778835,-43.64809853,76.51226383,30.73027758
34.05498367,-36.01516962,69.99091577,31.36588133
30.83941352,-40.6660496,66.69437863,31.16059346
19.70780621,-33.19632784,61.75200681,30.80150552
15.75742372,-39.55195088,60.80202051,30.84395863
32.2922499,-38.04371557,75.30343701,33.29065127
32.10684878,-26.29985604,76.9861805,32.95622477
33.25957651,-29.95425183,78.86212151,31.94201855
40.65168702,-35.66534096,69.89982477,30.67241466
31.14047464,-29.06212387,64.43665181,30.88101789
37.62868393,-42.95448629,59.84006942,30.82038077
18.17917045,-36.70580789,52.13562754,31.52769544
6.775298821,-24.79836073,65.84583029,31.27068317
28.29710308,-33.38822255,72.56871157,32.52701823
18.32347624,-15.51209673,73.92935448,31.24651052
31.41316124,-28.40241094,67.81154725,31.95611638
33.93187277,-35.19980563,63.23147395,30.06080096
27.20779982,-32.18438519,58.01620791,29.91281911
17.27123819,-32.80152381,49.94902325,31.09256171
8.667879805,-30.23852796,54.04495612,32.20691502
24.86984164,-32.76459158,66.31421639,31.5398254
33.09909661,-37.88991429,66.78952373,31.39700691
26.46829736,-24.98203867,63.85472615,32.19535837
26.3846158,-28.10204081,58.65703943,32.6914076
27.24460617,-36.49482398,52.45064089,31.2310701
17.68990292,-35.40218444,46.01051153,31.64866358
5.823177117,-30.01982499,38.94646535,31.15883303
6.001144527,-34.41978551,58.06963385,33.30825806
21.72497674,-42.74408673,59.29955305,33.60894192
19.28709915,-25.74558993,60.53902399,32.82805424
12.9728287,-23.28994905,55.84938137,31.92834871
26.29522274,-41.36957909,49.88573898,32.57358426
5.641672916,-23.68952029,41.86345103,31.46398275
6.351463564,-34.43327012,34.58106267,30.87561157
2.404181236,-37.70347569,43.85866498,30.35585708
8.992142983,-29.08263924,51.18684073,32.76466608
24.5324778,-30.69243537,46.64096034,29.385349
17.72837633,-20.61811493,48.46388574,32.1447781
27.53581925,-35.62268328,43.44504665,30.56643939
21.93244045,-35.25260757,41.10889659,30.36345361
4.294394439,-14.46657747,27.5560363,29.19279653
6.691762677,-29.64953055,29.10846079,29.81977418
18.45009106,-42.87329185,43.89848396,31.72255813
20.15493051,-32.87424125,42.17978625,32.49873617
30.90405336,-35.38525553,49.11645413,32.28905715
25.48739199,-29.6907969,44.33276032,30.9856245
21.15488741,-25.81313438,38.05541579,30.88997866
21.15846883,-32.54866649,28.85846536,29.2396113
7.771278179,-22.84887397,22.0935839,31.06123219
12.4556432,-33.58266891,45.32367363,31.20935246
23.04373351,-31.39320953,47.18395341,30.69933317
26.96323385,-27.3883138,48.74118775,31.92467583
23.91201193,-17.57566621,44.35101628,32.25293824
31.55918671,-33.95861262,41.37476533,30.25732244
24.20656543,-25.17002212,37.09538951,28.43239304
26.10641996,-32.58581911,29.70795654,29.86465287
14.52215513,-29.77737495,37.10529751,29.47877907
28.24710011,-21.65261268,45.98454272,30.38475031
41.08867882,-27.02616848,46.71910442,30.20169033
38.29085146,-20.94333396,47.84973323,28.45358729
41.65601956,-27.04922787,44.32201813,27.75639295
26.98378758,-14.17467594,37.24099959,28.30189066
31.39826191,-19.11857551,31.9779616,28.57293478
29.34413727,-22.51501726,28.58379351,27.52353345
30.32610527,-19.8319792,46.1272176,27.10287672
40.25550773,-19.64377068,50.76890824,27.51980989
44.19586931,-22.57084612,53.87771044,28.01380542
49.58221591,-25.34763912,48.38443374,27.67195497
45.3823666,-22.71398763,43.89569575,28.26115139
36.04959581,-19.11646569,38.03947013,27.7491904
29.80604059,-25.69935907,34.14659832,24.98241235
23.99809208,-24.83557801,33.77808077,26.468925
28.45750165,-22.67474419,48.75328896,26.39517813
31.00482155,-16.72403901,51.70476688,25.8281306
29.6164077,-21.74887441,52.18370244,25.2798098
31.27004415,-17.98798424,46.98184409,25.22872091
19.05853547,-12.49930716,41.14888955,26.23794456
28.55899214,-26.22256566,36.31061212,25.16040951
7.378318984,-7.64582465,29.48902739,25.71991251
